frame.number,ip.src,ip.dst,tcp.srcport,tcp.dstport,frame.len,ip.proto,tcp.flags.syn,tcp.flags.ack,tcp.flags.fin,ip.len,tcp.window_size_value,tcp.analysis.ack_rtt,tcp.analysis.initial_rtt,tcp.analysis.bytes_in_flight,tcp.analysis.push_bytes_sent,frame.time_epoch
1,10.0.0.134,10.0.0.134,0,0,60,6,False,False,False,40,512,,,,,1722051802.794449103
2,10.0.0.134,10.0.0.134,1,0,60,6,False,False,False,40,512,,,,,1722051803.795656749
3,10.0.0.134,10.0.0.134,2,0,60,6,False,False,False,40,512,,,,,1722051804.795978367
4,10.0.0.134,10.0.0.134,3,0,60,6,False,False,False,40,512,,,,,1722051805.796789650
5,10.0.0.134,10.0.0.134,4,0,60,6,False,False,False,40,512,,,,,1722051806.797496584
6,10.0.0.134,10.0.0.134,5,0,60,6,False,False,False,40,512,,,,,1722051807.798172135
7,10.0.0.134,10.0.0.134,6,0,60,6,False,False,False,40,512,,,,,1722051808.799378498
8,10.0.0.134,10.0.0.134,7,0,60,6,False,False,False,40,512,,,,,1722051809.800230111
9,10.0.0.134,10.0.0.134,8,0,60,6,False,False,False,40,512,,,,,1722051810.800899883
10,10.0.0.134,10.0.0.134,9,0,60,6,False,False,False,40,512,,,,,1722051811.801221429
11,10.0.0.134,10.0.0.134,10,0,60,6,False,False,False,40,512,,,,,1722051812.802034298
12,10.0.0.134,10.0.0.134,11,0,60,6,False,False,False,40,512,,,,,1722051813.802961793
13,10.0.0.134,10.0.0.134,12,0,60,6,False,False,False,40,512,,,,,1722051814.803560224
14,10.0.0.134,10.0.0.134,13,0,60,6,False,False,False,40,512,,,,,1722051815.804433437
15,10.0.0.134,10.0.0.134,14,0,60,6,False,False,False,40,512,,,,,1722051816.804805019
16,10.0.0.134,10.0.0.134,15,0,60,6,False,False,False,40,512,,,,,1722051817.805636279
17,10.0.0.134,10.0.0.134,16,0,60,6,False,False,False,40,512,,,,,1722051818.806672935
18,10.0.0.134,10.0.0.134,17,0,60,6,False,False,False,40,512,,,,,1722051819.807143374
19,10.0.0.134,10.0.0.134,18,0,60,6,False,False,False,40,512,,,,,1722051820.808058875
20,10.0.0.134,10.0.0.134,19,0,60,6,False,False,False,40,512,,,,,1722051821.808707983
21,10.0.0.134,10.0.0.134,20,0,60,6,False,False,False,40,512,,,,,1722051822.809155900
22,10.0.0.134,10.0.0.134,21,0,60,6,False,False,False,40,512,,,,,1722051823.809646946
23,10.0.0.134,10.0.0.134,22,0,60,6,False,False,False,40,512,,,,,1722051824.811804307
24,10.0.0.134,10.0.0.134,23,0,60,6,False,False,False,40,512,,,,,1722051825.811135507
25,10.0.0.134,10.0.0.134,24,0,60,6,False,False,False,40,512,,,,,1722051826.812078991
26,10.0.0.134,10.0.0.134,25,0,60,6,False,False,False,40,512,,,,,1722051827.813386763
27,10.0.0.134,10.0.0.134,26,0,60,6,False,False,False,40,512,,,,,1722051828.814039488
28,10.0.0.134,10.0.0.134,27,0,60,6,False,False,False,40,512,,,,,1722051829.814998872
29,10.0.0.134,10.0.0.134,28,0,60,6,False,False,False,40,512,,,,,1722051830.816378998
30,10.0.0.134,10.0.0.134,29,0,60,6,False,False,False,40,512,,,,,1722051831.816448173
31,10.0.0.134,10.0.0.134,30,0,60,6,False,False,False,40,512,,,,,1722051832.817722312
32,10.0.0.134,10.0.0.134,31,0,60,6,False,False,False,40,512,,,,,1722051833.818930976
33,10.0.0.134,10.0.0.134,32,0,60,6,False,False,False,40,512,,,,,1722051834.819819493
34,10.0.0.134,10.0.0.134,33,0,60,6,False,False,False,40,512,,,,,1722051835.820556437
35,10.0.0.134,10.0.0.134,34,0,60,6,False,False,False,40,512,,,,,1722051836.821937014
36,10.0.0.134,10.0.0.134,35,0,60,6,False,False,False,40,512,,,,,1722051837.822802797
37,10.0.0.134,10.0.0.134,36,0,60,6,False,False,False,40,512,,,,,1722051838.823990524
38,10.0.0.134,10.0.0.134,37,0,60,6,False,False,False,40,512,,,,,1722051839.824812315
39,10.0.0.134,10.0.0.134,38,0,60,6,False,False,False,40,512,,,,,1722051840.826254232
40,10.0.0.134,10.0.0.134,39,0,60,6,False,False,False,40,512,,,,,1722051841.827778451
41,10.0.0.134,10.0.0.134,40,0,60,6,False,False,False,40,512,,,,,1722051842.828765617
42,10.0.0.134,10.0.0.134,41,0,60,6,False,False,False,40,512,,,,,1722051843.832195920
43,10.0.0.134,10.0.0.134,42,0,60,6,False,False,False,40,512,,,,,1722051844.833602053
44,10.0.0.134,10.0.0.134,43,0,60,6,False,False,False,40,512,,,,,1722051845.834635952
45,10.0.0.134,10.0.0.134,44,0,60,6,False,False,False,40,512,,,,,1722051846.838770120
46,10.0.0.134,10.0.0.134,45,0,60,6,False,False,False,40,512,,,,,1722051847.839769760
47,10.0.0.134,10.0.0.134,46,0,60,6,False,False,False,40,512,,,,,1722051848.840724714
48,10.0.0.134,10.0.0.134,47,0,60,6,False,False,False,40,512,,,,,1722051849.841679158
49,10.0.0.134,10.0.0.134,48,0,60,6,False,False,False,40,512,,,,,1722051850.842591104
50,10.0.0.134,10.0.0.134,49,0,60,6,False,False,False,40,512,,,,,1722051851.843775157
51,10.0.0.134,10.0.0.134,50,0,60,6,False,False,False,40,512,,,,,1722051852.844476842
52,10.0.0.134,10.0.0.134,51,0,60,6,False,False,False,40,512,,,,,1722051853.845125227
53,10.0.0.134,10.0.0.134,52,0,60,6,False,False,False,40,512,,,,,1722051854.845765555
54,10.0.0.134,10.0.0.134,53,0,60,6,False,False,False,40,512,,,,,1722051855.846984242
55,10.0.0.134,10.0.0.134,54,0,60,6,False,False,False,40,512,,,,,1722051856.847561431
56,10.0.0.134,10.0.0.134,55,0,60,6,False,False,False,40,512,,,,,1722051857.848245889
57,10.0.0.134,10.0.0.134,56,0,60,6,False,False,False,40,512,,,,,1722051858.849627590
58,10.0.0.134,10.0.0.134,57,0,60,6,False,False,False,40,512,,,,,1722051859.851184744
59,10.0.0.134,10.0.0.134,58,0,60,6,False,False,False,40,512,,,,,1722051860.851787372
60,10.0.0.134,10.0.0.134,59,0,60,6,False,False,False,40,512,,,,,1722051861.853766267
61,10.0.0.134,10.0.0.134,60,0,60,6,False,False,False,40,512,,,,,1722051862.854929956
62,10.0.0.134,10.0.0.134,61,0,60,6,False,False,False,40,512,,,,,1722051863.855715218
63,10.0.0.134,10.0.0.134,62,0,60,6,False,False,False,40,512,,,,,1722051864.856694517
64,10.0.0.134,10.0.0.134,63,0,60,6,False,False,False,40,512,,,,,1722051865.857590553
65,10.0.0.134,10.0.0.134,64,0,60,6,False,False,False,40,512,,,,,1722051866.858632776
66,10.0.0.134,10.0.0.134,65,0,60,6,False,False,False,40,512,,,,,1722051867.860107577
67,10.0.0.134,10.0.0.134,66,0,60,6,False,False,False,40,512,,,,,1722051868.860961096
68,10.0.0.134,10.0.0.134,67,0,60,6,False,False,False,40,512,,,,,1722051869.862269823
69,10.0.0.134,10.0.0.134,68,0,60,6,False,False,False,40,512,,,,,1722051870.863086811
70,10.0.0.134,10.0.0.134,69,0,60,6,False,False,False,40,512,,,,,1722051871.864038244
71,10.0.0.134,10.0.0.134,70,0,60,6,False,False,False,40,512,,,,,1722051872.864629531
72,10.0.0.134,10.0.0.134,71,0,60,6,False,False,False,40,512,,,,,1722051873.865373480
73,10.0.0.134,10.0.0.134,72,0,60,6,False,False,False,40,512,,,,,1722051874.866071061
74,10.0.0.134,224.0.0.251,,,105,17,,,,91,,,,,,1722051875.169593615
75,10.0.0.134,10.0.0.134,73,0,60,6,False,False,False,40,512,,,,,1722051875.875510229
76,10.0.0.134,10.0.0.134,74,0,60,6,False,False,False,40,512,,,,,1722051876.874908716
77,10.0.0.134,10.0.0.134,75,0,60,6,False,False,False,40,512,,,,,1722051877.875434020
78,10.0.0.134,10.0.0.134,76,0,60,6,False,False,False,40,512,,,,,1722051878.876437309
79,10.0.0.134,10.0.0.134,77,0,60,6,False,False,False,40,512,,,,,1722051879.877077911
80,10.0.0.134,10.0.0.134,78,0,60,6,False,False,False,40,512,,,,,1722051880.877754924
81,10.0.0.134,10.0.0.134,79,0,60,6,False,False,False,40,512,,,,,1722051881.878469613
82,10.0.0.134,10.0.0.134,80,0,60,6,False,False,False,40,512,,,,,1722051882.879101046
83,10.0.0.134,10.0.0.134,81,0,60,6,False,False,False,40,512,,,,,1722051883.886574924
84,10.0.0.134,10.0.0.134,82,0,60,6,False,False,False,40,512,,,,,1722051884.887512209
85,10.0.0.134,10.0.0.134,83,0,60,6,False,False,False,40,512,,,,,1722051885.888323813
86,10.0.0.134,10.0.0.134,84,0,60,6,False,False,False,40,512,,,,,1722051886.888527627
87,10.0.0.134,10.0.0.134,85,0,60,6,False,False,False,40,512,,,,,1722051887.889252002
88,10.0.0.134,10.0.0.134,86,0,60,6,False,False,False,40,512,,,,,1722051888.890294893
89,10.0.0.134,10.0.0.134,87,0,60,6,False,False,False,40,512,,,,,1722051889.891027035
90,10.0.0.134,10.0.0.2,,,89,17,,,,75,,,,,,1722051890.116173152
91,10.0.0.2,10.0.0.134,,,425,17,,,,411,,,,,,1722051890.120880542
92,10.0.0.134,10.0.0.134,88,0,60,6,False,False,False,40,512,,,,,1722051890.891713159
93,10.0.0.134,10.0.0.134,89,0,60,6,False,False,False,40,512,,,,,1722051891.892398057
94,10.0.0.134,10.0.0.134,90,0,60,6,False,False,False,40,512,,,,,1722051892.893256499
95,10.0.0.134,10.0.0.134,91,0,60,6,False,False,False,40,512,,,,,1722051893.894353931
96,10.0.0.134,10.0.0.134,92,0,60,6,False,False,False,40,512,,,,,1722051894.895426864
97,10.0.0.134,10.0.0.134,93,0,60,6,False,False,False,40,512,,,,,1722051895.896272994
98,10.0.0.134,10.0.0.134,94,0,60,6,False,False,False,40,512,,,,,1722051896.897138618
99,10.0.0.134,10.0.0.134,95,0,60,6,False,False,False,40,512,,,,,1722051897.897939820
100,10.0.0.134,10.0.0.134,96,0,60,6,False,False,False,40,512,,,,,1722051898.900190370
101,10.0.0.134,10.0.0.134,97,0,60,6,False,False,False,40,512,,,,,1722051899.900873305
102,10.0.0.134,10.0.0.134,98,0,60,6,False,False,False,40,512,,,,,1722051900.901703252
103,10.0.0.134,10.0.0.134,99,0,60,6,False,False,False,40,512,,,,,1722051901.902635887
104,10.0.0.134,10.0.0.134,100,0,60,6,False,False,False,40,512,,,,,1722051902.903494945
105,10.0.0.134,10.0.0.134,101,0,60,6,False,False,False,40,512,,,,,1722051903.904640016
106,10.0.0.134,10.0.0.134,102,0,60,6,False,False,False,40,512,,,,,1722051904.905119158
107,10.0.0.134,10.0.0.134,103,0,60,6,False,False,False,40,512,,,,,1722051905.905948158
108,10.0.0.134,10.0.0.134,104,0,60,6,False,False,False,40,512,,,,,1722051906.906662589
109,10.0.0.134,10.0.0.134,105,0,60,6,False,False,False,40,512,,,,,1722051907.907111808
110,10.0.0.134,10.0.0.134,106,0,60,6,False,False,False,40,512,,,,,1722051908.907766125
111,10.0.0.134,10.0.0.134,107,0,60,6,False,False,False,40,512,,,,,1722051909.908458920
112,10.0.0.134,10.0.0.134,108,0,60,6,False,False,False,40,512,,,,,1722051910.909501420
113,10.0.0.134,10.0.0.134,109,0,60,6,False,False,False,40,512,,,,,1722051911.910479075
114,10.0.0.134,10.0.0.134,110,0,60,6,False,False,False,40,512,,,,,1722051912.911042337
115,10.0.0.134,10.0.0.134,111,0,60,6,False,False,False,40,512,,,,,1722051913.911752603
116,10.0.0.134,10.0.0.134,112,0,60,6,False,False,False,40,512,,,,,1722051914.913285452
117,10.0.0.134,10.0.0.134,113,0,60,6,False,False,False,40,512,,,,,1722051915.914462382
118,10.0.0.134,10.0.0.134,114,0,60,6,False,False,False,40,512,,,,,1722051916.915041107
119,10.0.0.134,10.0.0.134,115,0,60,6,False,False,False,40,512,,,,,1722051917.915844590
120,10.0.0.134,10.0.0.134,116,0,60,6,False,False,False,40,512,,,,,1722051918.916804243
121,10.0.0.134,10.0.0.134,117,0,60,6,False,False,False,40,512,,,,,1722051919.917150976
122,10.0.0.134,10.0.0.134,118,0,60,6,False,False,False,40,512,,,,,1722051920.917683153
123,10.0.0.134,10.0.0.134,119,0,60,6,False,False,False,40,512,,,,,1722051921.918995329
124,10.0.0.134,10.0.0.134,120,0,60,6,False,False,False,40,512,,,,,1722051922.919667690
125,10.0.0.134,10.0.0.134,121,0,60,6,False,False,False,40,512,,,,,1722051923.920072925
126,10.0.0.134,10.0.0.134,122,0,60,6,False,False,False,40,512,,,,,1722051924.920838194
127,10.0.0.134,10.0.0.134,123,0,60,6,False,False,False,40,512,,,,,1722051925.921875401
128,10.0.0.134,10.0.0.134,124,0,60,6,False,False,False,40,512,,,,,1722051926.923900034
129,10.0.0.134,10.0.0.134,125,0,60,6,False,False,False,40,512,,,,,1722051927.924312530
130,10.0.0.134,10.0.0.134,126,0,60,6,False,False,False,40,512,,,,,1722051928.925419970
131,10.0.0.134,10.0.0.134,127,0,60,6,False,False,False,40,512,,,,,1722051929.926743344
132,10.0.0.134,10.0.0.134,128,0,60,6,False,False,False,40,512,,,,,1722051930.927898953
133,10.0.0.134,10.0.0.134,129,0,60,6,False,False,False,40,512,,,,,1722051931.929090304
134,10.0.0.134,10.0.0.134,130,0,60,6,False,False,False,40,512,,,,,1722051932.929322775
135,10.0.0.134,10.0.0.134,131,0,60,6,False,False,False,40,512,,,,,1722051933.930034698
136,10.0.0.134,10.0.0.134,132,0,60,6,False,False,False,40,512,,,,,1722051934.931019744
137,10.0.0.134,10.0.0.134,133,0,60,6,False,False,False,40,512,,,,,1722051935.932032126
138,10.0.0.134,10.0.0.134,134,0,60,6,False,False,False,40,512,,,,,1722051936.932738117
139,10.0.0.134,10.0.0.134,135,0,60,6,False,False,False,40,512,,,,,1722051937.933446835
140,10.0.0.134,10.0.0.134,136,0,60,6,False,False,False,40,512,,,,,1722051938.934145561
141,10.0.0.134,10.0.0.134,137,0,60,6,False,False,False,40,512,,,,,1722051939.937271634
142,10.0.0.134,10.0.0.134,138,0,60,6,False,False,False,40,512,,,,,1722051940.938125652
143,10.0.0.134,10.0.0.134,139,0,60,6,False,False,False,40,512,,,,,1722051941.939538813
144,10.0.0.134,10.0.0.134,140,0,60,6,False,False,False,40,512,,,,,1722051942.940174077
145,10.0.0.134,10.0.0.134,141,0,60,6,False,False,False,40,512,,,,,1722051943.940946592
146,10.0.0.134,10.0.0.134,142,0,60,6,False,False,False,40,512,,,,,1722051944.941260787
147,10.0.0.134,10.0.0.134,143,0,60,6,False,False,False,40,512,,,,,1722051945.941826280
148,10.0.0.134,10.0.0.134,144,0,60,6,False,False,False,40,512,,,,,1722051946.942902029
149,10.0.0.134,10.0.0.134,145,0,60,6,False,False,False,40,512,,,,,1722051947.944008992
150,10.0.0.134,10.0.0.134,146,0,60,6,False,False,False,40,512,,,,,1722051948.944771099
151,10.0.0.134,10.0.0.134,147,0,60,6,False,False,False,40,512,,,,,1722051949.945352970
152,10.0.0.134,10.0.0.134,148,0,60,6,False,False,False,40,512,,,,,1722051950.946367429
153,10.0.0.134,10.0.0.134,149,0,60,6,False,False,False,40,512,,,,,1722051951.946979409
154,10.0.0.134,10.0.0.134,150,0,60,6,False,False,False,40,512,,,,,1722051952.947890199
155,10.0.0.134,10.0.0.134,151,0,60,6,False,False,False,40,512,,,,,1722051953.948868893
156,10.0.0.134,10.0.0.134,152,0,60,6,False,False,False,40,512,,,,,1722051954.949983660
157,10.0.0.134,10.0.0.134,153,0,60,6,False,False,False,40,512,,,,,1722051955.950588370
158,10.0.0.134,10.0.0.134,154,0,60,6,False,False,False,40,512,,,,,1722051956.951729768
159,10.0.0.134,10.0.0.134,155,0,60,6,False,False,False,40,512,,,,,1722051957.952554017
160,10.0.0.134,10.0.0.134,156,0,60,6,False,False,False,40,512,,,,,1722051958.953206585
161,10.0.0.134,10.0.0.134,157,0,60,6,False,False,False,40,512,,,,,1722051959.954468259
162,10.0.0.134,10.0.0.134,158,0,60,6,False,False,False,40,512,,,,,1722051960.955611956
163,10.0.0.134,10.0.0.134,159,0,60,6,False,False,False,40,512,,,,,1722051961.956488267
164,10.0.0.134,10.0.0.134,160,0,60,6,False,False,False,40,512,,,,,1722051962.957182332
165,10.0.0.134,10.0.0.134,161,0,60,6,False,False,False,40,512,,,,,1722051963.958146285
166,10.0.0.134,10.0.0.134,162,0,60,6,False,False,False,40,512,,,,,1722051964.958923588
167,10.0.0.134,10.0.0.134,163,0,60,6,False,False,False,40,512,,,,,1722051965.960331349
168,10.0.0.134,10.0.0.134,164,0,60,6,False,False,False,40,512,,,,,1722051966.961293685
169,10.0.0.134,10.0.0.134,165,0,60,6,False,False,False,40,512,,,,,1722051967.962652463
170,10.0.0.134,10.0.0.134,166,0,60,6,False,False,False,40,512,,,,,1722051968.963698475
171,10.0.0.134,10.0.0.134,167,0,60,6,False,False,False,40,512,,,,,1722051969.964772000
172,10.0.0.134,10.0.0.134,168,0,60,6,False,False,False,40,512,,,,,1722051970.965914683
173,10.0.0.134,10.0.0.134,169,0,60,6,False,False,False,40,512,,,,,1722051971.966951997
174,10.0.0.134,10.0.0.134,170,0,60,6,False,False,False,40,512,,,,,1722051972.968209892
175,10.0.0.134,10.0.0.134,171,0,60,6,False,False,False,40,512,,,,,1722051973.969266457
176,10.0.0.134,10.0.0.134,172,0,60,6,False,False,False,40,512,,,,,1722051974.970198402
177,10.0.0.134,10.0.0.134,173,0,60,6,False,False,False,40,512,,,,,1722051975.971657906
178,10.0.0.134,10.0.0.134,174,0,60,6,False,False,False,40,512,,,,,1722051976.972640666
179,10.0.0.134,10.0.0.134,175,0,60,6,False,False,False,40,512,,,,,1722051977.973956424
180,10.0.0.134,10.0.0.134,176,0,60,6,False,False,False,40,512,,,,,1722051978.975173776
181,10.0.0.134,10.0.0.134,177,0,60,6,False,False,False,40,512,,,,,1722051979.976506976
182,10.0.0.134,10.0.0.2,,,89,17,,,,75,,,,,,1722051980.112695533
183,10.0.0.2,10.0.0.134,,,281,17,,,,267,,,,,,1722051980.121778768
184,10.0.0.134,185.125.190.17,56426,80,74,6,True,False,False,60,64240,,,,,1722051980.123426473
185,185.125.190.17,10.0.0.134,80,56426,60,6,True,True,False,44,64240,0.102126384,,,,1722051980.225552857
186,10.0.0.134,185.125.190.17,56426,80,54,6,False,True,False,40,64240,0.000049224,0.102175608,,,1722051980.225602081
187,10.0.0.134,185.125.190.17,56426,80,141,6,False,True,False,127,64240,,0.102175608,87,87,1722051980.226258022
188,185.125.190.17,10.0.0.134,80,56426,60,6,False,True,False,40,64240,0.000307240,0.102175608,,,1722051980.226565262
189,185.125.190.17,10.0.0.134,80,56426,243,6,False,True,True,229,64240,,0.102175608,189,189,1722051980.322295167
190,10.0.0.134,185.125.190.17,56426,80,54,6,False,True,True,40,64050,0.000568885,0.102175608,,,1722051980.322864052
191,185.125.190.17,10.0.0.134,80,56426,60,6,False,True,False,40,64239,0.000535479,0.102175608,,,1722051980.323399531
192,10.0.0.134,10.0.0.134,178,0,60,6,False,False,False,40,512,,,,,1722051980.977437381
193,10.0.0.134,10.0.0.134,179,0,60,6,False,False,False,40,512,,,,,1722051981.978756731
194,10.0.0.134,10.0.0.134,180,0,60,6,False,False,False,40,512,,,,,1722051982.980119676
195,10.0.0.134,10.0.0.134,181,0,60,6,False,False,False,40,512,,,,,1722051983.980965429
196,10.0.0.134,10.0.0.134,182,0,60,6,False,False,False,40,512,,,,,1722051984.981602023
197,10.0.0.134,10.0.0.134,183,0,60,6,False,False,False,40,512,,,,,1722051985.983480818
198,10.0.0.134,10.0.0.134,184,0,60,6,False,False,False,40,512,,,,,1722051986.984738104
199,10.0.0.134,10.0.0.134,185,0,60,6,False,False,False,40,512,,,,,1722051987.985512452
200,10.0.0.134,10.0.0.134,186,0,60,6,False,False,False,40,512,,,,,1722051988.986504638
201,10.0.0.134,10.0.0.134,187,0,60,6,False,False,False,40,512,,,,,1722051989.987418901
202,10.0.0.134,10.0.0.134,188,0,60,6,False,False,False,40,512,,,,,1722051990.987927209
203,10.0.0.134,10.0.0.134,189,0,60,6,False,False,False,40,512,,,,,1722051991.989766504
204,10.0.0.134,10.0.0.134,190,0,60,6,False,False,False,40,512,,,,,1722051992.990287861
205,10.0.0.134,10.0.0.134,191,0,60,6,False,False,False,40,512,,,,,1722051993.990925166
206,10.0.0.134,10.0.0.134,192,0,60,6,False,False,False,40,512,,,,,1722051994.991187008
207,10.0.0.134,10.0.0.134,193,0,60,6,False,False,False,40,512,,,,,1722051995.992130443
208,10.0.0.134,10.0.0.134,194,0,60,6,False,False,False,40,512,,,,,1722051996.993112479
209,10.0.0.134,10.0.0.134,195,0,60,6,False,False,False,40,512,,,,,1722051997.994885593
210,10.0.0.134,10.0.0.134,196,0,60,6,False,False,False,40,512,,,,,1722051999.006991202
211,10.0.0.134,10.0.0.134,197,0,60,6,False,False,False,40,512,,,,,1722052000.008637891
212,10.0.0.134,10.0.0.134,198,0,60,6,False,False,False,40,512,,,,,1722052001.008848293
213,10.0.0.134,10.0.0.134,199,0,60,6,False,False,False,40,512,,,,,1722052002.009755528
214,10.0.0.134,10.0.0.134,200,0,60,6,False,False,False,40,512,,,,,1722052003.010370580
215,10.0.0.134,10.0.0.134,201,0,60,6,False,False,False,40,512,,,,,1722052004.011757097
216,10.0.0.134,10.0.0.134,202,0,60,6,False,False,False,40,512,,,,,1722052005.012708271
217,10.0.0.134,10.0.0.134,203,0,60,6,False,False,False,40,512,,,,,1722052006.013810963
218,10.0.0.134,10.0.0.134,204,0,60,6,False,False,False,40,512,,,,,1722052007.015206379
219,10.0.0.134,10.0.0.134,205,0,60,6,False,False,False,40,512,,,,,1722052008.016668570
220,10.0.0.134,10.0.0.134,206,0,60,6,False,False,False,40,512,,,,,1722052009.017724775
